audit_id;audit_stratum;content_hash;copies;representative_repo;representative_path;representative_url;paragraph_index;word_count;alphabetic_characters;dominant_script;fasttext_language;fasttext_confidence;fasttext_margin;lingua_language;lingua_confidence;lingua_margin;stable_after_normalization;automated_decision;accepted_language;paragraph_text;manual_language;manual_judgment;manual_notes
L001;accepted:en;3f0d47fe69792ded60c86e0de599bb13efb34d8f985dcb73d10918643e914f46;1;twin2ai/personas;personas/elon_musk/raw/claude.md;https://github.com/twin2ai/personas/blob/b666065f3d17b9425ce36af95804e5bc5f574b32/personas/elon_musk/raw/claude.md;51;67;347;Latin/other;en;9,23974E+14;9,19088E+15;en;10;10;VERDADERO;accepted;en;"Rhetorical devices center on simplification through comparison. His battery cost explanation exemplifies this: ""What are the material constituents? What is the stock market value of the material constituents? It's got cobalt, nickel, aluminum, carbon, some polymers for separation and a seal can. Break that down on a material basis and say, 'If we bought that on the London Metal Exchange, what would each of those things cost?'""";en;;
L002;accepted:en;9c0e985cb2096b2188ca8b37f9e34ef4b0721b1c707fddb0ddab68730343ee05;1;emmascheck2001-arch/empower-app-;www/CLAUDE.md;https://github.com/emmascheck2001-arch/empower-app-/blob/ddba34fc87dda702a3c4702d7846f0bc895d035b/www/CLAUDE.md;656;75;322;Latin/other;en;9,72295E+15;9,70597E+14;en;10;10;VERDADERO;accepted;en;"No period is not a fitness badge (observation mode, training-related loss): ""A missing period is not a sign you are training hard enough. It is a sign your body has decided reproduction is too costly given your current energy balance. Your period returning is not a sign you are getting softer. It is a sign your body is healthy enough to perform at its best."" Source: Sims ST. Diary of a CEO October 2025. IOC RED-S 2023.";en;;
L003;accepted:en;ad87a372d164642078ab1fcc749fa2b7bcf26fc862b8c1ad777626d3bbb08b63;1;KingsGambitLab/skills-lab-v2;CLAUDE.md;https://github.com/KingsGambitLab/skills-lab-v2/blob/91d9e776b0cff472952819ac5562f1d232bbae9f/CLAUDE.md;879;21;99;Latin/other;en;9,49194E+15;9,46031E+14;en;9,66797E+15;9,52791E+15;VERDADERO;accepted;en;"The second line is a defensive re-pin. Cost: 100-500ms when pytest's already at version. Catch-rate: every ""pytest: not found"" we've seen.";en;;
L004;accepted:en;01ca63b14dc3c8fe45e2c22584321ead3fd6969e3ec96a714f96758342b08a3c;1;Melkabli05/prismprep;.claude/CLAUDE.md;https://github.com/Melkabli05/prismprep/blob/4d33388310811edd79b0bef8d6881d076819b5d7/.claude/CLAUDE.md;118;28;137;Latin/other;en;9,36192E+15;9,29489E+15;en;1E+16;1E+16;VERDADERO;accepted;en;A rule that isn't enforced decays. Wire boundary lint ( or equivalent), strict TS, and these conventions into CI so violations fail the build rather than relying on review.;en;;
L005;accepted:en;a6db261b6ee455dd05020d037b7d24fda9bad7ceaaa53096f883393e3d2c971c;1;polarfruit/pitch-test-website;CLAUDE.md;https://github.com/polarfruit/pitch-test-website/blob/90205ab738317ad6d9aa701b8c5a17e46d11943a/CLAUDE.md;188;34;161;Latin/other;en;9,54241E+15;9,51474E+15;en;10;10;VERDADERO;accepted;en;"BOOLEANS must always read as statements that are either true or false. When you read a boolean name, you should be able to complete the sentence ""this is true when. "" immediately and without ambiguity.";en;;
L006;accepted:es;c8f66578fe9b86d5e09aa080b9ef6f007e9f1d780d70517277b22e93ee51df1d;1;JuaniRaggio/homecore;.claude/CLAUDE.md;https://github.com/JuaniRaggio/homecore/blob/d6fa4c0cc5b8ec44111d858a6da6888c719cd731/.claude/CLAUDE.md;1;22;128;Latin/other;es;9,13754E+15;8,9431E+15;es;1E+16;1E+16;VERDADERO;accepted;es;Este es un proyecto académico de HCI (Human-Computer Interaction) que consiste en un sistema de gestión de casas inteligentes con múltiples aplicaciones.;es;;
L007;accepted:es;b537659349f4ddd23a6adca81878fec347b2ad8987cb55278d5ba9fb8c0fc2af;1;Rodry03/siempreFiel;CLAUDE.md;https://github.com/Rodry03/siempreFiel/blob/e58c66102e294872adf6250120b0cfdf6964c668/CLAUDE.md;146;32;161;Latin/other;es;9,5798E+15;9,3908E+15;es;1E+16;1E+16;VERDADERO;accepted;es;"String nullable — . Es solo una (mostrada en los desplegables como ""· Acogida""/""· Adopción"") — no filtra qué familias pueden vincularse a un perro, porque una misma familia puede adoptar un perro y acoger otro.";es;;
L008;accepted:es;65aeaa755a733014d165e8d2972f174bd51c922100378c956b1010677f12ea85;1;RodrigoGomez14/LifeTrack;CLAUDE.md;https://github.com/RodrigoGomez14/LifeTrack/blob/51f8c84681899b190b12a743a1bf63393acca193/CLAUDE.md;738;23;146;Latin/other;es;9,86387E+15;9,76642E+15;es;1E+15;1E+15;VERDADERO;accepted;es;Reemplazar + por wizard (pedido pendiente del usuario en la conversación) — decisión tomada: usar las 12 categorías actuales para gastos, 4 actuales para ingresos, subcategoría única.;es;;
L009;accepted:es;b0ddf8eb1465d79aba514edf60a08767723964a378deb1ad72ed4c277b70d317;1;GianPierooo/Jezici;CLAUDE.md;https://github.com/GianPierooo/Jezici/blob/a54f8af27ea8d7d134fb6e93b9f72f8c9ca97dce/CLAUDE.md;110;45;214;Latin/other;es;9,01306E+15;8,86389E+15;es;10;10;VERDADERO;accepted;es;?? BLOQUEADO en Gian (opcional, mejora puntualidad): agendar un cron externo GRATIS (cron-job.org) que llame cada 15 min con header ? los push salen puntuales aunque nadie tenga la app abierta. (VAPID, secrets y deploy de la función: YA hechos vía API, no requieren nada de Gian.);es;;
L010;accepted:es;af962f6bddc8151b51e6b40591512913e3a98a65430c3095c21dda2955045049;1;RGC02995/casa-caldereta;CLAUDE.md;https://github.com/RGC02995/casa-caldereta/blob/f008b826e7f94ce91270cf50f2e60205cc8de156/CLAUDE.md;427;74;382;Latin/other;es;9,50423E+15;9,33561E+15;es;10;10;VERDADERO;accepted;es;"Causa : el elemento raíz se generaba sin ningún desde su reescritura del 2026-07-16 (ver ""XML SES.HOSPEDAJES reestructurado"" en Pendientes) — esa reescritura se basó en la de campos de ""Instrucciones para el alta masiva de comunicaciones v1.2.0"", documento que no incluía un ejemplo de fichero completo con namespace. Sin , el validador del portal no puede casar el elemento del fichero con ninguna declaración global del esquema, aunque el nombre y la estructura interna sean correctos";es;;
