rank,language,repositories,repository_share
1,TypeScript,26832,0.278817478048527
2,Python,20407,0.2120538265703746
3,JavaScript,7802,0.08107237491557126
4,HTML,5565,0.05782719384839196
5,Shell,4477,0.04652153582376474
6,Rust,3938,0.040920662960461374
7,(unknown),3845,0.03995427858887099
8,Go,3685,0.03829168182054346
9,C#,2006,0.020844806982906427
10,Java,1720,0.017872915259520963
11,C++,1355,0.014080116381773783
12,PHP,1345,0.013976204083753312
13,Swift,1266,0.013155296929391594
14,Jupyter Notebook,1038,0.01078609653452486
15,Kotlin,993,0.010318491193432743
16,Dart,858,0.008915675170156389
17,C,781,0.008115550475398763
18,Lua,703,0.0073050345508390915
19,Astro,676,0.007024471346183821
20,Vue,661,0.0068686028991531145
21,CSS,610,0.006338650179248714
22,Ruby,497,0.005164441211617395
23,PowerShell,373,0.003875928716163558
24,MDX,359,0.003730451498934899
25,Svelte,340,0.0035330181326960045
26,Nix,282,0.0029303268041772743
27,R,244,0.0025354600716994856
28,TeX,242,0.0025146776120953916
29,Elixir,216,0.002244505637242168
30,HCL,163,0.0016937704577336728
31,SCSS,155,0.0016106406193172962
32,Blade,152,0.0015794669299111549
33,Makefile,147,0.0015275107809009196
34,GDScript,146,0.0015171195510988726
35,Solidity,117,0.0012157738868395075
36,Dockerfile,112,0.001163817737829272
37,Zig,108,0.001122252818621084
38,Emacs Lisp,105,0.0010910791292149426
39,Vim Script,102,0.0010599054398088014
40,Go Template,95,0.0009871668311944718
41,Julia,78,0.0008105159245596716
42,PLpgSQL,78,0.0008105159245596716
43,Scala,75,0.0007793422351535305
44,Clojure,74,0.0007689510053514834
45,Jinja,68,0.0007066036265392009
46,Lean,61,0.0006338650179248714
47,Haskell,53,0.0005507351795084949
48,Liquid,45,0.00046760534109211826
49,QML,43,0.0004468228814880241
50,OCaml,41,0.00042604042188392995
51,F#,38,0.0003948667324777887
52,Perl,38,0.0003948667324777887
53,Assembly,35,0.00036369304307164754
54,Just,33,0.0003429105834675534
55,Typst,32,0.0003325193536655063
56,Objective-C,26,0.0002701719748532239
57,Markdown,24,0.00024938951524912975
58,Fortran,23,0.00023899828544708267
59,GLSL,22,0.0002286070556450356
60,Batchfile,21,0.00021821582584298851
61,MATLAB,21,0.00021821582584298851
62,CMake,18,0.0001870421364368473
63,Groovy,18,0.0001870421364368473
64,Pascal,18,0.0001870421364368473
65,Nunjucks,17,0.00017665090663480023
66,Verilog,17,0.00017665090663480023
67,Cuda,16,0.00016625967683275316
68,Gleam,16,0.00016625967683275316
69,Crystal,15,0.00015586844703070608
70,EJS,15,0.00015586844703070608
71,Haxe,15,0.00015586844703070608
72,Luau,15,0.00015586844703070608
73,OpenSCAD,15,0.00015586844703070608
74,TSQL,15,0.00015586844703070608
75,Nushell,14,0.000145477217228659
76,Roff,14,0.000145477217228659
77,ShaderLab,14,0.000145477217228659
78,SystemVerilog,14,0.000145477217228659
79,Apex,12,0.00012469475762456487
80,Common Lisp,12,0.00012469475762456487
81,Elm,12,0.00012469475762456487
82,Erlang,12,0.00012469475762456487
83,Mermaid,12,0.00012469475762456487
84,Rich Text Format,12,0.00012469475762456487
85,Twig,12,0.00012469475762456487
86,Nim,11,0.0001143035278225178
87,Odin,11,0.0001143035278225178
88,Starlark,11,0.0001143035278225178
89,MoonBit,10,0.00010391229802047072
90,YAML,10,0.00010391229802047072
91,Wolfram Language,9,9.352106821842365e-05
92,Scheme,8,8.312983841637658e-05
93,AL,7,7.27386086143295e-05
94,Open Policy Agent,7,7.27386086143295e-05
95,Stata,7,7.27386086143295e-05
96,Visual Basic .NET,7,7.27386086143295e-05
97,ColdFusion,6,6.234737881228244e-05
98,G-code,6,6.234737881228244e-05
99,Handlebars,6,6.234737881228244e-05
100,Mojo,6,6.234737881228244e-05
101,Monkey C,6,6.234737881228244e-05
102,MQL5,6,6.234737881228244e-05
103,Racket,6,6.234737881228244e-05
104,Smarty,6,6.234737881228244e-05
105,Stylus,6,6.234737881228244e-05
106,VBA,6,6.234737881228244e-05
107,ABAP,5,5.195614901023536e-05
108,Cangjie,5,5.195614901023536e-05
109,Cypher,5,5.195614901023536e-05
110,Gherkin,5,5.195614901023536e-05
